Yield_CT,Yield_change,Latitude,Longitude,Crop,Crop_rotation_CT,Soil_cover_CT,Weed_pest_control_CT,P,E,PB,Tave,Tmax,Tmin,ST
6400.0,-0.0781,25.58,85.4,rice,0,0.0,1.0,690.9,434.023,256.877,27.28,33.51878,14.67209,Loam
8380.0,0.0382,28.18,113.07,rice,0,0.0,1.0,773.0,353.483,419.517,19.675,26.76139,7.16453,Clay loam
1676.0,0.5006,53.42,-113.55,barley.spring,0,0.0,1.0,405.2,391.731,13.469,13.14,23.33975,2.96978,Loam
2500.0,0.08,31.38,72.03,maize,0,1.0,1.0,489.9,406.5,83.4,30.62,38.91278,19.24657,Loam
2110.0,-0.0948,35.18,-102.08,wheat.winter,0,1.0,1.0,365.7,561.391,-195.691,13.21111,29.86785,-2.15497,Loam
2833.0,-0.0777,47.38,-71.38,barley.spring,0,0.0,1.0,412.0999947,334.5826908,77.517,14.22500014,22.07684917,2.890004558,Sandy loam
8160.0,-0.0576,40.8,-96.67,maize,0,0.0,1.0,636.9,535.245,101.655,19.71667,31.8859,4.8187,Loam
2281.0,0.0539,42.94,-92.57,soybean,0,0.0,1.0,438.1,502.598,-64.498,18.35,30.40158,3.53012,Loam
5400.0,0.2407,25.58,85.4,maize,0,0.0,1.0,468.0,440.731,27.269,31.15,38.58161,26.50431,Loam
1880.0,0.2277,37.2,46.33,wheat.winter,0,0.0,1.0,345.8,441.274,-95.474,11.42222,30.00932,-1.97908,Loam
2600.0,0.3846,35.18,-102.08,sorghum,0,1.0,1.0,317.2,539.526,-222.326,22.06,33.18162,10.80618,Loam
2680.0,0.0086,34.3,-86.02,soybean,0,0.0,1.0,782.9,465.504,317.396,20.6,30.85223,5.99667,Loam
6599.0,-0.0042,35.32,106.07,maize,0,0.0,1.0,244.9999962,366.5145901,-121.515,13.32000003,24.1535802,-4.514760663,Loam
2539.0,1.5691,-13.97,33.65,maize,0,0.0,1.0,650.2,643.985,6.215,25.35,25.68532,14.17448,Sandy clay loam
